Store,Customers,DayOfWeek,Open,Promo,Sales,SchoolHoliday,StateHoliday,AverageDailySales,AverageDailyCustomer,SalesPerCustomer,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
179,744593,3766,779,360,5683019,170,43,7295.274711168165,955.8318356867779,7.632383060275882,a,c,480.0,,,0,,,
180,661099,3766,784,360,5660528,169,38,7220.061224489796,843.2385204081633,8.562300048858038,d,a,5800.0,9.0,2010.0,0,,,
181,416656,3033,623,286,3976421,124,39,6382.698234349919,668.7897271268058,9.54365471756077,a,a,12610.0,3.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
182,326297,3766,781,360,4142935,193,41,5304.654289372599,417.79385403329064,12.696822220247197,d,c,1390.0,,,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
183,367233,3033,611,286,2945836,124,39,4821.335515548281,601.0360065466449,8.021708288743113,a,a,9670.0,,,0,,,
184,462834,3766,777,360,5123769,170,43,6594.2972972972975,595.6679536679536,11.070424817537173,d,c,3560.0,,,0,,,
185,427459,3766,784,360,5621764,173,38,7170.617346938776,545.2283163265306,13.151586467941955,d,c,1860.0,5.0,2015.0,0,,,
186,237019,3033,622,286,2353548,124,39,3783.83922829582,381.0594855305466,9.929786219670152,a,a,290.0,10.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
187,608155,3766,784,360,4923311,159,38,6279.7334183673465,775.7079081632653,8.095487170211541,a,c,19360.0,,,0,,,
188,341389,3766,779,360,3884836,150,43,4986.952503209242,438.2400513478819,11.37949963238417,d,a,850.0,,,1,18.0,2011.0,"Feb,May,Aug,Nov"
189,652121,3766,779,360,6826322,150,43,8762.929396662388,837.1258023106546,10.467876360368704,d,a,5760.0,7.0,2014.0,0,,,
190,408097,3033,622,286,4477750,124,39,7198.954983922829,656.104501607717,10.972268847847449,a,a,1470.0,12.0,2006.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
191,444020,3033,622,286,4253819,124,39,6838.9372990353695,713.8585209003215,9.580241880996352,a,a,1100.0,8.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
192,401447,3033,622,286,5608471,124,39,9016.834405144695,645.4131832797427,13.970638714450475,d,c,2770.0,3.0,2008.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
193,607349,3766,777,360,4166302,155,46,5362.036036036036,781.6589446589446,6.859815361513726,a,a,520.0,,,0,,,
194,324514,3766,777,360,3752516,155,46,4829.492921492922,417.6499356499356,11.563494949370444,d,c,16970.0,,,1,5.0,2013.0,"Feb,May,Aug,Nov"
195,1011485,3766,779,360,8345567,170,43,10713.17971758665,1298.4403080872914,8.250806487491165,a,c,220.0,,,0,,,
196,544939,3766,782,360,4079175,167,39,5216.3363171355495,696.8529411764706,7.485562604254788,c,a,3850.0,11.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
197,660348,3766,784,360,5367788,169,38,6846.668367346939,842.280612244898,8.128726065650232,c,a,4210.0,3.0,2015.0,0,,,
198,264690,3766,782,360,2268273,167,39,2900.6048593350383,338.4782608695652,8.569545506063697,a,a,290.0,9.0,2002.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
199,486550,3766,779,360,6197488,150,43,7955.697047496791,624.5827984595635,12.737617922104613,d,c,6360.0,12.0,2010.0,1,14.0,2012.0,"Mar,Jun,Sept,Dec"
200,753802,3766,779,360,6021315,170,43,7729.5442875481385,967.6534017971759,7.987926537738026,a,a,1650.0,10.0,2000.0,0,,,
201,346044,3766,779,360,4089245,170,43,5249.351732991014,444.21566110397947,11.817124411924496,d,a,20260.0,,,1,18.0,2014.0,"Mar,Jun,Sept,Dec"
202,397835,3766,781,360,4737388,193,41,6065.797695262484,509.39180537772086,11.907921625799641,d,c,5140.0,5.0,2010.0,0,,,
203,690154,3766,782,360,5298238,168,43,6775.240409207161,882.5498721227622,7.676892403724386,c,c,490.0,11.0,2002.0,0,,,
204,326039,3033,622,286,3412446,124,39,5486.247588424438,524.1784565916398,10.466373654685482,a,a,5630.0,12.0,2002.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
205,689282,3766,784,360,5124867,173,38,6536.820153061224,879.1862244897959,7.435080271935144,a,a,110.0,12.0,2007.0,0,,,
206,623126,3766,779,360,5575733,170,43,7157.551989730424,799.9050064184852,8.948002490668019,a,c,380.0,,,1,14.0,2012.0,"Jan,Apr,Jul,Oct"
207,1019499,3766,784,360,8768418,159,38,11184.206632653062,1300.3813775510205,8.600712703004122,a,a,6870.0,,,0,,,
208,324162,3766,784,360,2302052,173,38,2936.2908163265306,413.4719387755102,7.10154799143638,c,a,300.0,4.0,2006.0,0,,,
209,509083,3766,882,360,4928424,159,38,5587.78231292517,577.1916099773242,9.68098325813276,a,c,11680.0,9.0,2011.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
210,254156,3766,779,360,2488114,150,43,3193.98459563543,326.25930680359437,9.789711830529281,d,a,970.0,11.0,1999.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
211,1164871,3766,784,360,10187567,173,38,12994.345663265307,1485.8048469387754,8.745661107538947,a,c,350.0,11.0,2006.0,0,,,
212,361234,3766,784,360,3744115,159,38,4775.656887755102,460.7576530612245,10.364791243349186,a,c,15050.0,9.0,2008.0,0,,,
213,508427,3766,779,360,6334081,170,43,8131.0410783055195,652.6662387676508,12.458191638130941,d,c,4030.0,3.0,2014.0,1,1.0,2014.0,"Jan,Apr,Jul,Oct"
214,557336,3766,779,360,7269531,170,43,9331.875481386392,715.4505776636714,13.043354457634173,d,a,8650.0,7.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
215,304466,3033,621,286,3920679,124,39,6313.492753623188,490.28341384863126,12.877230955180545,d,a,150.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
216,688834,3766,776,360,5607978,170,43,7226.775773195876,887.6726804123712,8.14126190054498,c,a,190.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
217,504018,3766,784,360,3685496,169,38,4700.8877551020405,642.8801020408164,7.31223091238805,c,a,3150.0,,,0,,,
218,433160,3033,622,286,3121555,124,39,5018.577170418006,696.3987138263666,7.206471049958445,a,c,640.0,,,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
219,316620,3766,779,360,2441162,170,43,3133.712451861361,406.4441591784339,7.7100688522519105,a,a,1640.0,2.0,2013.0,0,,,
220,500228,3766,776,360,3807392,170,43,4906.432989690722,644.6237113402062,7.61131324116203,a,a,1000.0,9.0,2008.0,0,,,
221,433356,3766,784,360,4564321,159,38,5821.838010204082,552.75,10.532497530898384,d,c,13530.0,9.0,2013.0,0,,,
222,440266,3766,784,360,3906246,173,38,4982.456632653061,561.5637755102041,8.872468007976996,a,a,2170.0,11.0,2008.0,0,,,
223,577676,3766,782,360,5656109,167,39,7232.875959079284,738.7161125319693,9.791144170780854,d,c,2920.0,10.0,1995.0,1,27.0,2011.0,"Jan,Apr,Jul,Oct"
224,371919,3766,777,360,5151315,155,46,6629.749034749035,478.66023166023166,13.850636832213466,d,c,7930.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
225,435047,3766,782,360,4064054,168,43,5197.0,556.3260869565217,9.341643546559338,d,a,10180.0,5.0,2015.0,0,,,
226,549052,3766,781,360,5667944,193,41,7257.290653008963,703.01152368758,10.323146077238587,a,a,450.0,,,0,,,
227,430968,3766,768,360,4623704,170,43,6020.447916666667,561.15625,10.728648066677804,a,a,2370.0,,,0,,,
228,462038,3766,779,360,6190043,170,43,7946.139922978177,593.1168164313223,13.397259532765704,d,c,10800.0,,,1,18.0,2011.0,"Feb,May,Aug,Nov"
229,571982,3766,779,360,6734738,150,43,8645.36328626444,734.2516046213094,11.774388005216947,d,c,17410.0,4.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
230,737138,3766,784,360,5928326,159,38,7561.640306122449,940.2270408163265,8.042355705444571,d,c,6680.0,9.0,2013.0,0,,,
231,245380,3033,622,286,2967114,124,39,4770.279742765273,394.5016077170418,12.091914581465483,d,c,3840.0,10.0,2008.0,1,39.0,2010.0,"Feb,May,Aug,Nov"
232,232738,3766,766,360,2583221,168,43,3372.351174934726,303.8355091383812,11.099266127576932,c,c,13570.0,5.0,2010.0,1,10.0,2013.0,"Mar,Jun,Sept,Dec"
233,805731,3766,781,360,7365681,193,41,9431.089628681179,1031.6658130601793,9.14161301972991,a,a,1890.0,,,0,,,
234,798258,3766,779,360,8625334,170,43,11072.315789473685,1024.721437740693,10.805195813884733,d,a,4370.0,,,0,,,
235,391382,3766,781,360,4635585,193,41,5935.44814340589,501.12932138284253,11.844144595305865,a,a,5710.0,3.0,2012.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
236,677994,3766,784,360,5581738,173,38,7119.563775510204,864.7882653061224,8.232724773375576,a,a,1000.0,11.0,2007.0,0,,,
237,450589,3766,784,360,3556217,173,38,4535.991071428572,574.7308673469388,7.892374203542475,a,a,1420.0,11.0,2007.0,0,,,
238,843640,3766,766,360,5868876,170,43,7661.718015665796,1101.3577023498694,6.9566118249490305,a,a,320.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
239,367741,3766,779,360,3950473,170,43,5071.210526315789,472.0680359435173,10.742541625763785,d,c,610.0,,,0,,,
240,360447,3766,784,360,3772636,173,38,4812.035714285715,459.75382653061223,10.466548480081677,a,a,1110.0,5.0,2009.0,0,,,
241,548976,3766,779,360,5128334,170,43,6583.227214377407,704.7188703465982,9.34163606423596,d,c,780.0,,,0,,,
242,285726,3766,781,360,3196707,193,41,4093.0947503201023,365.84635083226635,11.188015791352555,d,a,6880.0,9.0,2001.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
243,594010,3033,623,286,4407146,124,39,7074.07062600321,953.4670947030497,7.419312806181714,a,a,310.0,,,1,5.0,2013.0,"Feb,May,Aug,Nov"
244,420927,3766,779,360,4106186,170,43,5271.098844672657,540.3427471116817,9.75510242868716,d,a,710.0,3.0,2012.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
245,797211,3766,781,360,6949075,193,41,8897.663252240716,1020.7567221510883,8.716732458533563,a,c,1310.0,,,0,,,
246,734843,3766,784,360,5551547,169,38,7081.054846938776,937.2997448979592,7.554738903412021,c,a,4660.0,4.0,2013.0,0,,,
247,534178,3766,781,360,6698411,193,41,8576.710627400767,683.966709346991,12.53966093699104,d,c,70.0,11.0,2010.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
248,872228,3766,784,360,6555942,159,38,8362.170918367347,1112.5357142857142,7.516316834589121,a,c,340.0,9.0,2012.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
249,421584,3766,784,360,4144086,159,38,5285.823979591837,537.734693877551,9.829799043606968,d,c,18010.0,9.0,2014.0,0,,,
250,513850,3766,781,360,6615557,193,41,8470.623559539052,657.9385403329065,12.874490610100224,d,a,3520.0,,,1,18.0,2012.0,"Feb,May,Aug,Nov"
251,1908934,3766,779,360,14896870,170,43,19123.068035943517,2450.4929396662387,7.803763776013209,a,c,340.0,,,0,,,
252,630702,3766,779,360,8269484,170,43,10615.512195121952,809.630295250321,13.111555060868683,d,c,22330.0,,,1,5.0,2010.0,"Feb,May,Aug,Nov"
253,538066,3766,779,360,4476698,170,43,5746.724005134788,690.7137355584082,8.319979333390327,a,c,250.0,,,1,5.0,2013.0,"Feb,May,Aug,Nov"
254,201507,3766,779,360,2341661,150,43,3005.9833119383825,258.6739409499358,11.620742703727414,d,a,330.0,3.0,2008.0,1,1.0,2012.0,"Mar,Jun,Sept,Dec"
255,498843,3766,779,360,4885211,170,43,6271.130937098845,640.3632862644416,9.793083194512102,c,c,4630.0,3.0,2011.0,1,35.0,2011.0,"Feb,May,Aug,Nov"
256,967823,3766,776,360,7630314,170,43,9832.87886597938,1247.194587628866,7.883997383819149,a,c,80.0,9.0,2005.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
257,495496,3766,784,360,4183099,173,38,5335.585459183673,632.0102040816327,8.442245749713418,a,a,420.0,12.0,2012.0,0,,,
258,307197,3033,622,286,3509384,124,39,5642.096463022508,493.88585209003213,11.42388760306904,a,a,27190.0,7.0,2010.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
259,2210980,3766,932,360,10851871,193,41,11643.638412017168,2372.296137339056,4.908172394141964,b,b,210.0,,,0,,,
260,714576,3766,784,360,5143038,173,38,6559.997448979592,911.4489795918367,7.197328205817156,a,a,540.0,10.0,2011.0,0,,,
261,739220,3766,779,360,9828244,167,39,12616.487804878048,948.9345314505777,13.295424907334759,d,c,15340.0,4.0,2015.0,1,39.0,2009.0,"Jan,Apr,Jul,Oct"
262,3204694,3766,942,360,19516842,169,38,20718.51592356688,3402.0106157112527,6.09007973928244,b,a,1180.0,5.0,2013.0,0,,,
263,221342,3033,622,286,2306075,124,39,3707.516077170418,355.85530546623795,10.418605596768801,a,c,1140.0,5.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
264,727234,3766,762,360,5512491,173,38,7234.240157480315,954.3753280839895,7.580078764194194,a,a,180.0,3.0,2014.0,0,,,
265,392036,3766,779,360,3859812,150,43,4954.829268292683,503.25545571245186,9.845555000051016,a,a,4580.0,,,1,14.0,2015.0,"Jan,Apr,Jul,Oct"
266,414483,3766,780,360,3424011,172,45,4389.757692307692,531.3884615384616,8.26092023074529,a,c,360.0,3.0,2014.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
267,881620,3766,784,360,7282702,159,38,9289.160714285714,1124.515306122449,8.260590730700303,c,a,2460.0,1.0,2012.0,0,,,
268,468855,3766,784,360,3826840,209,38,4881.173469387755,598.0293367346939,8.162097023600047,a,a,4520.0,2.0,2014.0,0,,,
269,959027,3766,779,360,7281084,170,43,9346.706033376124,1231.1001283697049,7.592157467933645,a,c,60.0,6.0,2015.0,0,,,
270,944773,3766,784,360,7284633,173,38,9291.623724489797,1205.0676020408164,7.710458491087277,a,a,1450.0,7.0,2014.0,0,,,
271,617651,3766,780,360,6116519,172,45,7841.691025641026,791.8602564102564,9.902872334052725,a,a,420.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
272,491687,3766,781,360,4871343,193,41,6237.314980793854,629.5608194622279,9.907406541153213,a,a,16180.0,7.0,2003.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
273,548145,3766,779,360,5499466,170,43,7059.648267008986,703.6521181001284,10.032867215791443,a,c,8480.0,,,0,,,
274,925235,3766,932,360,3794012,193,41,4070.8283261802576,992.7414163090128,4.100592822364048,b,b,3640.0,,,1,10.0,2013.0,"Jan,Apr,Jul,Oct"
275,466063,3033,622,286,4630070,124,39,7443.842443729904,749.2974276527331,9.934429465544358,d,a,300.0,5.0,2014.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
276,406340,3766,780,360,3191132,172,45,4091.1948717948717,520.9487179487179,7.853354333809126,a,a,2960.0,10.0,2014.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
277,332923,3033,622,286,4008491,124,39,6444.519292604502,535.2459807073955,12.04029460265587,d,c,7840.0,,,1,31.0,2009.0,"Feb,May,Aug,Nov"
278,621398,3766,784,360,5599459,159,38,7142.1670918367345,792.5994897959183,9.011066981226202,a,c,9260.0,2.0,2010.0,0,,,
279,415873,3033,623,286,5532919,124,39,8881.08988764045,667.5329052969503,13.304347721539989,d,c,2320.0,,,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
280,404863,3766,777,360,4869839,155,46,6267.489060489061,521.0592020592021,12.028362680709277,d,c,18640.0,9.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
281,430929,3766,784,360,4594724,159,38,5860.617346938776,549.6543367346939,10.662368974935546,d,c,6970.0,9.0,2011.0,0,,,
282,502531,3766,784,360,3456330,173,38,4408.584183673469,640.983418367347,6.8778443518907295,a,a,1220.0,12.0,2010.0,0,,,
283,446799,3033,622,286,4425007,124,39,7114.1591639871385,718.3263665594856,9.903797904650638,a,a,2260.0,,,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
284,279858,3033,622,286,3367042,124,39,5413.250803858521,449.93247588424435,12.031251563292813,d,a,1290.0,,,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
285,367256,3766,781,360,4025996,193,41,5154.924455825864,470.2381562099872,10.962369573267694,a,a,2410.0,,,0,,,
286,335325,3766,779,360,3838772,167,39,4927.8202824133505,430.45571245186136,11.44791470961008,a,a,1460.0,4.0,2015.0,0,,,
287,509417,3033,622,286,5070793,124,39,8152.400321543409,818.9983922829582,9.954110286857329,c,a,2740.0,5.0,2009.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
288,262806,3033,622,286,3499206,124,39,5625.733118971061,422.5176848874598,13.31478733362252,d,a,800.0,,,1,14.0,2011.0,"Mar,Jun,Sept,Dec"
289,432447,3766,781,360,4936879,193,41,6321.227912932139,553.7093469910371,11.416148106010679,d,a,6540.0,12.0,2007.0,0,,,
290,531828,3766,779,360,5464029,170,43,7014.1578947368425,682.7060333761233,10.274052889279993,a,a,4150.0,5.0,2001.0,0,,,
291,655473,3766,780,360,6257971,172,45,8023.039743589744,840.35,9.547259765085672,d,a,,,,0,,,
292,541196,3766,766,360,4422953,173,38,5774.090078328982,706.5221932114882,8.172553012217385,a,a,1100.0,6.0,2009.0,0,,,
293,638439,3766,783,360,4899830,173,38,6257.765006385696,815.3754789272031,7.674703456399124,c,c,140.0,11.0,2007.0,0,,,
294,598265,3766,781,360,4506589,193,41,5770.280409731114,766.0243277848912,7.5327639089701055,a,a,3150.0,5.0,2005.0,0,,,
295,521352,3766,777,360,4106780,155,46,5285.4311454311455,670.980694980695,7.87717319584465,a,a,210.0,11.0,2000.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
296,589505,3766,781,360,5438463,193,41,6963.460947503201,754.8079385403329,9.225473914555431,a,a,9580.0,5.0,2007.0,1,45.0,2014.0,"Feb,May,Aug,Nov"
297,559386,3766,777,360,5432839,155,46,6992.070785070785,719.9305019305019,9.71214688962541,a,a,2300.0,9.0,2010.0,0,,,
298,429979,3033,622,286,5223940,124,39,8398.617363344052,691.2845659163987,12.149291011886627,d,a,19840.0,7.0,2009.0,0,,,
299,602255,3766,882,360,5499540,159,38,6235.306122448979,682.8287981859411,9.131580476708372,d,c,38630.0,9.0,2012.0,0,,,
300,687137,3766,782,360,5534680,193,41,7077.595907928388,878.6918158567775,8.05469651612415,a,c,120.0,4.0,2009.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
301,467376,3766,784,360,4342138,159,38,5538.441326530612,596.1428571428571,9.29045992947862,a,c,4510.0,3.0,2015.0,0,,,
302,252528,3766,781,360,2922724,193,41,3742.2842509603074,323.3393085787452,11.573861116391054,d,c,2190.0,12.0,2007.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
303,516285,3766,767,360,4740126,170,43,6180.086049543676,673.122555410691,9.181219675179406,a,a,15430.0,11.0,2012.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
304,827856,3766,784,360,5541079,209,38,7067.702806122449,1055.938775510204,6.69328844629984,a,a,1950.0,7.0,2015.0,0,,,
305,396325,3766,781,360,4176274,193,41,5347.341869398208,507.4583866837388,10.537498265312559,c,c,2470.0,2.0,2005.0,1,31.0,2013.0,"Mar,Jun,Sept,Dec"
306,291021,3033,622,286,2717435,124,39,4368.86655948553,467.87942122186496,9.33759075805526,a,a,5100.0,4.0,2007.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
307,240704,3766,782,360,2114322,167,39,2703.7365728900254,307.8056265984655,8.78390886732252,a,a,18660.0,9.0,2002.0,0,,,
308,720753,3766,768,360,7183229,170,43,9353.162760416666,938.48046875,9.966283872561057,a,a,1070.0,12.0,2006.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
309,460414,3766,779,360,5430658,170,43,6971.319640564827,591.0320924261874,11.795162614516501,d,a,8740.0,,,1,37.0,2009.0,"Feb,May,Aug,Nov"
310,627604,3766,897,360,7388018,159,38,8236.363433667782,699.670011148272,11.77178284395893,a,c,2290.0,,,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
311,616333,3766,781,360,5184737,193,41,6638.587708066581,789.1587708066581,8.412233321921754,a,c,680.0,7.0,2005.0,0,,,
312,420688,3766,781,360,4348731,193,41,5568.157490396927,538.6530089628682,10.337188129920511,d,a,11300.0,3.0,2012.0,0,,,
313,552885,3766,782,360,5533037,167,39,7075.494884910486,707.0140664961637,10.007573003427476,d,c,14160.0,,,0,,,
314,445010,3766,779,360,4002280,170,43,5137.715019255455,571.2580231065468,8.993685535156514,a,a,3560.0,10.0,2001.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
315,352465,3766,784,360,3333890,159,38,4252.410714285715,449.57270408163265,9.458783141588526,a,c,38710.0,4.0,2013.0,0,,,
316,702532,3766,779,360,7677532,170,43,9855.62516046213,901.8382541720154,10.928373369469291,d,a,9000.0,8.0,2001.0,0,,,
317,360336,3033,622,286,3346040,124,39,5379.4855305466235,579.3183279742765,9.285888726077882,d,a,3140.0,7.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
318,513822,3766,780,360,5871619,172,45,7527.716666666666,658.7461538461539,11.427340596549,d,c,32330.0,3.0,2014.0,0,,,
319,661449,3766,784,360,6105068,159,38,7787.076530612245,843.6849489795918,9.229839337575536,a,c,570.0,9.0,2012.0,1,27.0,2012.0,"Mar,Jun,Sept,Dec"
320,1617489,3766,784,360,11630218,159,38,14834.461734693878,2063.123724489796,7.190291865972505,a,c,210.0,9.0,2012.0,0,,,
321,456662,3766,780,360,4647488,172,45,5958.317948717949,585.4641025641025,10.177085021306787,c,c,8140.0,11.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
322,428432,3766,782,360,3926557,167,39,5021.1726342711,547.8670076726343,9.164947996414833,a,a,17500.0,4.0,2001.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
323,483870,3766,779,360,5737615,150,43,7365.359435173299,621.1424903722722,11.85776138218943,d,c,8400.0,4.0,2012.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
324,562953,3766,780,360,4436629,168,43,5687.985897435898,721.7346153846154,7.880993617584417,a,a,13140.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
325,524314,3766,779,360,5051539,170,43,6484.645699614891,673.0603337612323,9.634568216755609,a,c,350.0,3.0,2011.0,1,22.0,2011.0,"Feb,May,Aug,Nov"
326,326200,3766,779,360,3901936,150,43,5008.903722721438,418.74197689345317,11.9617903126916,d,a,10070.0,5.0,2015.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
327,723138,3766,778,360,6012573,168,43,7728.242930591259,929.4832904884319,8.314558217103789,c,c,1390.0,12.0,2004.0,0,,,
328,405391,3766,779,360,3452551,170,43,4432.029525032092,520.3992297817715,8.516595089678853,a,a,3130.0,7.0,2002.0,0,,,
329,483386,3766,779,360,5385006,170,43,6912.716302952504,620.5211810012837,11.140177828898643,a,a,1310.0,6.0,1990.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
330,348645,3766,779,360,3245811,170,43,4166.6379974326055,447.5545571245186,9.309787893129114,a,c,370.0,,,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
331,638940,3766,779,360,4799307,150,43,6160.85622593068,820.2053915275994,7.511357873978778,a,c,670.0,,,1,14.0,2015.0,"Jan,Apr,Jul,Oct"
332,391168,3766,780,360,2908282,168,43,3728.5666666666666,501.4974358974359,7.4348668602748695,a,a,1840.0,3.0,2006.0,0,,,
333,993414,3766,784,360,7662181,169,38,9773.190051020409,1267.109693877551,7.712978677570479,a,c,3720.0,2.0,2010.0,0,,,
334,437907,3766,779,360,4228712,170,43,5428.385109114249,562.1399229781772,9.656643990619013,d,c,4040.0,8.0,2008.0,1,18.0,2013.0,"Mar,Jun,Sept,Dec"
335,2246936,3766,942,360,12541731,170,43,13313.93949044586,2385.2823779193204,5.581703706736641,b,a,90.0,,,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
336,1529043,3766,780,360,10850316,193,41,13910.661538461538,1960.3115384615385,7.0961483751601495,a,a,190.0,7.0,2014.0,0,,,
337,299850,3766,781,360,3943779,193,41,5049.653008962868,383.93085787451986,13.152506253126564,d,c,10600.0,7.0,2005.0,1,45.0,2014.0,"Feb,May,Aug,Nov"
338,487915,3766,781,360,5637222,193,41,7217.95390524968,624.7311139564661,11.55369685293545,a,c,1590.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
339,513596,3766,756,360,3881031,150,43,5133.638888888889,679.3597883597884,7.5565833846057995,a,c,2280.0,,,1,10.0,2013.0,"Mar,Jun,Sept,Dec"
340,560590,3766,784,360,5084744,159,38,6485.642857142857,715.0382653061224,9.070343744982964,a,c,8080.0,,,0,,,
341,584355,3766,779,360,4293485,170,43,5511.534017971759,750.1347881899871,7.3473915684814886,a,a,190.0,9.0,2011.0,0,,,
342,527685,3033,621,286,6895670,124,39,11104.138486312399,849.7342995169082,13.067777177672285,d,c,15770.0,,,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
343,546982,3766,779,360,5608306,170,43,7199.365853658536,702.1591784338896,10.253182005989228,d,a,18650.0,4.0,2004.0,1,14.0,2014.0,"Jan,Apr,Jul,Oct"
344,893298,3766,784,360,6649189,169,38,8481.108418367347,1139.4107142857142,7.4434164187090985,a,c,300.0,4.0,2011.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
345,307503,3033,622,286,2836062,124,39,4559.585209003216,494.37781350482317,9.222875874381714,a,a,120.0,,,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
346,482745,3766,779,360,5320960,170,43,6830.500641848524,619.6983311938383,11.022299557737522,a,c,8090.0,,,0,,,
347,300454,3766,777,360,3732856,155,46,4804.190476190476,386.68468468468467,12.424051601909111,d,c,9360.0,7.0,2013.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
348,439128,3033,597,286,5255376,124,39,8802.97487437186,735.5577889447236,11.967754276657375,a,a,16490.0,,,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
349,580713,3766,700,360,5711451,173,38,8159.215714285714,829.59,9.835238749606088,c,c,1490.0,4.0,2009.0,0,,,
350,413472,3766,781,360,5477257,193,41,7013.133162612035,529.4135723431498,13.246984076309882,d,a,8880.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
351,404164,3766,779,360,4710510,170,43,6046.867779204108,518.8241335044929,11.654947001712177,a,a,5290.0,11.0,2012.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
352,499372,3766,784,360,5246710,159,38,6692.232142857143,636.954081632653,10.506616310085468,d,c,6360.0,,,1,40.0,2012.0,"Mar,Jun,Sept,Dec"
353,1349510,3766,931,360,5255773,155,46,5645.298603651987,1449.5273899033298,3.894578773036139,b,b,900.0,,,1,14.0,2013.0,"Feb,May,Aug,Nov"
354,549547,3766,779,360,6536263,170,43,8390.581514762516,705.4518613607189,11.89391080289766,d,c,1500.0,10.0,2005.0,0,,,
355,863704,3766,784,360,7172668,159,38,9148.811224489797,1101.6632653061224,8.304544149384512,a,c,9720.0,8.0,2013.0,0,,,
356,338618,3766,777,360,4443882,155,46,5719.281853281854,435.8018018018018,13.123584688350885,d,c,8970.0,12.0,2007.0,1,22.0,2012.0,"Feb,May,Aug,Nov"
357,781188,3766,768,360,5986921,172,45,7795.470052083333,1017.171875,7.663867084491825,a,a,2060.0,10.0,2008.0,0,,,
358,874499,3766,779,360,8028461,170,43,10306.111681643133,1122.591784338896,9.18064057248779,a,a,2890.0,10.0,2003.0,0,,,
